Bjerkli;277
Bjønnes;276
Bendixen;276
Brobakken;275
Brown;271
Blystad;271
Bergo;271
Brunvoll;270
Bilstad;270
Bu;267
Bashir;267
Bruheim;264
Baumann;264
Buljo;263
Brattås;263
Borchgrevink;263
Bjørgo;262
Bartnes;261
Bremseth;260
Balstad;260
Bratvold;258
Bjorøy;258
Bergquist;258
Belsvik;257
Ballestad;256
Bergman;254
Brekka;253
Bergseng;253
Bjørnø;252
Bakker;252
Buan;251
Brænden;249
Bøthun;248
Brevig;242
Buene;240
Brastad;239
Bhatti;236
Brunborg;235
Bjørkmo;235
Bauer;234
Broch;232
Bakkejord;228
Bergsvik;225
Bodin;224
Bjørnøy;223
Barka;222
Bringedal;221
Brataas;221
Brandvik;220
Buvarp;219
Bakkehaug;218
Brække;216
Benonisen;215
Bonsaksen;214
Bones;213
Becker;212
Borsheim;211
Bakkeli;211
Brudvik;210
Buseth;209
Bødtker;208
Brudevoll;208
Bell;208
Brænd;207
Blomvik;207
Birkeli;207
Bakkan;207
Børsheim;206
Brubakken;205
Bjørshol;204
Bjørkum;204
Bakkelund;203
Bakketun;202
Bærheim;200
Bergtun;200
Bakstad;200
Christensen;6387
Christiansen;3939
Carlsen;2904
Christoffersen;1424
Clausen;1217
Corneliussen;752
Caspersen;471
Christophersen;436
Carlsson;431
Claussen;347
Chen;295
Carlson;242
Chaudhry;241
Cappelen;221
Celius;214
Dahl;11711
Danielsen;5537
Dahle;3306
Dale;3195
Dalen;2503
Davidsen;1857
Dahlen;1203
Didriksen;1134
Dybvik;898
Dokken;728
Drange;678
Dammen;607
Dahlberg;576
Dreyer;538
Dyrnes;528
Dybdahl;480
Dalland;456
Djupvik;452
Dørum;446
Dalheim;421
Dalby;390
Dimmen;369
Dahlstrøm;365
Daae;359
Ditlefsen;355
Dyb;353
Dirdal;346
Digernes;344
Dyrstad;338
Do;321
Dang;320
Dyrdal;313
Drage;307
Dalene;307
Dyngeland;301
Dehli;301
Drønen;295
Dagsland;293
Drabløs;292
Dagestad;291
Due;285
Dybdal;283
Dvergsdal;283
Dyrseth;275
Drivenes;269
Dalhaug;265
Duong;258
Digre;253
Dyrøy;251
Devik;251
Dyrhaug;250
Devold;245
Djønne;225
Daleng;223
Dragland;221
Dyrkorn;219
Dybwad;219
Derås;216
Dalseth;215
Drevland;205
Doan;204
Djuve;204
Drageset;202
Diesen;202
Dalaker;201
Dramstad;200
Eriksen;19831
Eide;8265
Evensen;6163
Edvardsen;5083
Ellingsen;5045
Eliassen;4361
Engen;3849
Eilertsen;3362
Engebretsen;2942
Egeland;2413
Enger;2187
Eikeland;2089
Ellefsen;1937
Eggen;1883
Endresen;1622
Espeland;1568
Erlandsen;1370
Engh;1194
Ervik;1136
Enoksen;1103
Eriksson;1085
Evjen;1056
Eidem;1031
Eng;939
Einarsen;916
Erichsen;891
Eik;868
Engan;839
Eikrem;806
Egge;802
Espedal;787
Ekeberg;780
Erdal;712
Erstad;704
Enge;639
Engelsen;635
Elstad;618
Eie;594
Eid;583
Ek;574
Engelstad;562
Eira;537
Elvestad;495
Edland;481
Emilsen;480
Eek;471
Erga;469
Eiken;465
Egeberg;456
Eikenes;447
Eidissen;445
Erikstad;436
Eike;433
Eskeland;422
Engeset;420
Eikemo;416
Espeseth;410
Ekeland;405
Enersen;403
Erland;402
Ekren;398
Espe;392
Engebakken;387
Ege;382
Eklund;378
Ersland;376
Elverum;366
Engstrøm;356
Elde;354
Eknes;343
Engevik;341
Engedal;339
Engdal;338
Eggum;336
Eikås;333
Eckhoff;331
Engeseth;319
Ebbesen;316
Ekrem;312
Ekerhovd;312
Egeli;312
Espenes;309
Engum;307
Espelid;305
Elvebakk;302
Eidsvik;286
Elmi;280
Ekre;279
Engvik;275
Evenstad;263
Evju;261
Ernstsen;261
Ekroll;261
Eidet;256
Engeland;255
Ekeli;255
Eriksrud;244
Endal;244
Elvenes;243
Eltvik;243
Ekelund;243
Emblem;241
Edvartsen;237
Emanuelsen;236
Elnes;236
Evje;235
Ensrud;229
Elden;229
Evenrud;225
Eskedal;225
Evertsen;224
Engelund;223
Eggan;222
Eldevik;219
Einan;217
Ekstrøm;214
Eeg;211
Evanger;210
Engebråten;210
Elton;210
Einvik;210
Engenes;209
Emberland;209
Englund;205
Engstad;200
Eidsvåg;200
Fredriksen;6953
Foss;3180
Fossum;2678
Fjeld;2615
Fosse;2108
Finstad;1775
Fjeldstad;1749
Farstad;1533
Frantzen;1404
Fredheim;1300
Frydenlund;1099
Fossen;1036
Fagerli;1027
Førde;1000
Flaten;969
Furnes;954
Falch;893
Furuseth;891
Fjellstad;851
Fjellheim;832
Førland;814
Forsberg;800
Fagerheim;780
Fossheim;770
Fauske;742
Fjørtoft;727
Fjell;722
Folkestad;632
Furulund;624
Frøyland;614
Fuglestad;612
Fjelde;571
Fjeldheim;554
Fremstad;546
Forberg;533
Fylling;532
Fagerland;525
Fure;520
Fevang;516
Fjeldberg;513
Furu;509
Finne;509
Flåten;505
Fotland;491
Finsrud;489
Frogner;486
Friis;477
Fornes;475
Frafjord;472
Friestad;454
Fossdal;441
Falck;437
Frostad;430
Farah;424
Frøland;420
Fauskanger;416
Flo;408
Fjelldal;398
Flem;395
Fiksdal;385
Fiske;384
Fossli;379
Follestad;354
Flø;350
Flatland;346
Ferkingstad;346
Forseth;344
Fiskerstrand;338
Flatebø;337
Frigstad;334
Formo;334
Furre;331
Friberg;330
Flaa;330
Frøyen;327
Folkvord;326
Finseth;321
Fagernes;321
Frydenberg;320
Forbord;317
Fossan;316
Forsmo;316
Folgerø;314
Fiskvik;312
Furunes;308
Fjermestad;308
Fjellanger;305
Fjellvang;302
Fiskum;301
Fuglerud;298
Feragen;298
Farestveit;298
Fallet;298
Forland;296
Fjellestad;295
Fjærli;290
Fardal;290
Frøseth;288
Framnes;285
Fossland;285
Flatås;279
Frøiland;276
Furseth;275
Fosshaug;275
Fylkesnes;274
Finnerud;274
Fanebust;269
Følstad;266
Fossmo;265
Fonn;265
Fischer;262
Furset;261
Figenschou;259
Fidje;256
Frøystad;254
Flønes;253
Fløtre;252
Fagervik;252
Fretheim;251
Fadnes;251
Fagerhaug;247
Fiskå;243
Fossmark;242
Folland;242
Fleischer;242
Fimreite;242
Førre;240
Furuheim;239
Fagermo;239
Frøshaug;238
Frøysa;235
Fossnes;235
Flatøy;234
Folkedal;232
Fosen;231
Fagerås;231
Flesland;227
Fyhn;226
Flatmo;226
Fjær;226
Figenschau;225
Fidjeland;225
Ferstad;225
Falk;221
Fagereng;221
Finnesand;220
Føreland;216
Fonnes;216
Finnøy;215
Førsund;213
Fykse;209
Frivold;207
Fjæreide;206
Furuli;204
Fimland;204
Fagervold;204
Fagertun;204
Foldnes;203
Fløysvik;203
Fosser;200
Gundersen;10787
Gulbrandsen;5007
Gjerde;3378
Gustavsen;3171
Gabrielsen;3072
Gran;1805
Gjertsen;1641
Grimstad;1586
Gulliksen;1565
Grande;1526
Guttormsen;1324
Grønvold;1230
Gravdal;1110
Gjerstad;990
Granli;968
Gregersen;964
Gilje;963
Grindheim;923
Grønli;872
Grønning;772
Gaustad;735
Giske;730
Granheim;719
Gjesdal;713
Granum;696
Grøndahl;665
Granlund;641
Gudmundsen;635
Gjelsvik;630
Granberg;615
Gaarder;600
Green;596
Greiner;114
Gudbrandsen;580
Grønås;550
Grimsrud;543
Groven;527
Grov;510
Grinde;507
Gamst;504
Gerhardsen;491
Grytten;489
Grødem;484
Godø;484
Gaup;478
Garberg;456
Gullaksen;450
Granås;444
Grini;439
Grude;435
Garnes;421
Granerud;412
Gustad;411
Gramstad;407
Gashi;390
Gudmestad;382
Grønlund;379
Grøtte;377
Gram;377
Goa;369
Garvik;355
Grønstad;353
Gustafsson;350
Grøtting;342
Guddal;335
Graff;335
Gjelstad;328
Gjendem;321
Grongstad;320
Gilberg;315
Gunnerud;312
Gjessing;312
Grønseth;310
Gill;309
Grøstad;304
Grønnevik;300
Glesnes;298
Gåsland;292
Grønningsæter;292
Grønn;292
Granly;288
Grue;286
Gausdal;285
Gjerdrum;284
Grav;283
Groth;278
Gjestvang;272
Guttorm;267
Grotle;266
Greve;266
Grønbech;262
Grøneng;261
Gjersøe;260
Gjønnes;257
Gjengedal;256
Grindhaug;253
Grebstad;253
Gunnes;251
Grønvik;251
Giæver;248
Grønnestad;247
Guldberg;244
Grønhaug;244
Grøndal;243
Gjelsten;239
Glad;236
Gjermundsen;236
Gravem;235
Gunnarsen;234
Gunnerød;233
Gjengstø;232
Guldahl;229
Grøtan;229
Gustavson;227
Gangstad;227
Gården;226
Gjøsund;223
Grøndalen;222
Garshol;222
Grannes;221
Granmo;221
Gleditsch;221
Grøterud;220
Grønlie;218
Gjestad;217
Gjerdingen;217
Grimsmo;216
Gjeruldsen;215
Gunnestad;214
Gjerløw;213
Georgsen;213
Gulli;212
Grøtterud;211
Grinden;211
Gloppen;210
Gjøen;207
Gillebo;207
Gilde;207
Gussiås;204
Gjervik;204
Grønlien;203
Grønberg;201
Gule;200
Hansen;57782
Haugen;14708
Hagen;14427
Halvorsen;12003
Henriksen;11460
Holm;6540
Hauge;6240
Hanssen;6023
Haugland;5599
Haug;5165
Helland;4029
Hermansen;3520
Helgesen;3490
Hovland;3383
Hoel;2963
Hammer;2963
Håland;2916
Holmen;2800
Hoff;2799
Haga;2329
Hamre;2174
Haaland;2126
Holen;2108
Helle;2064
Haugan;2048
Hole;1966
Husby;1845
Hetland;1782
Holte;1671
Holt;1588
Haraldsen;1450
Holter;1444
Hjelle;1411
Håkonsen;1404
Hovde;1367
Holst;1293
Hussain;1269
Høyland;1234
Hope;1233
Holthe;1211
Hassan;1200
Hovden;1191
Horn;1045
Huseby;1042
Heimdal;1038
Huse;1037
Haugerud;1034
Handeland;1008
Hoem;992
Hågensen;988
Hopland;986
Holten;982
Heggelund;967
Hove;959
Hustad;946
Hvidsten;914
Helgeland;894
Hillestad;877
Hofstad;873
Haldorsen;858
Holstad;855
Hernes;850
Høvik;846
Haukås;845
Holth;844
Haugstad;841
Husebø;835
Herland;834
Hals;820
Haagensen;807
Holand;801
Høiland;765
Holme;764
Holtet;745
Helmersen;745
Holtan;731
Hodne;726
Hellerud;720
Hegge;709
Heggen;707
Hauger;696
Hov;693
Hansson;692
Høie;689
Henden;686
Halland;685
Heggem;678
Hussein;676
Holden;672
Hage;667
Heitmann;665
Huynh;664
Haukeland;657
Haugli;634
Hellum;625
Homme;621
Hestnes;615
Hogstad;599
Heiberg;599
Hjelmeland;594
Harstad;591
Henningsen;590
Hovda;582
Haave;578
Holberg;565
Håvik;564
Hegna;561
Høydal;550
Hauan;545
Helseth;541
Hem;533
Halle;531
Hassel;529
Heggland;528
Heier;526
Hårstad;522
Høyvik;511
Hafstad;508
Horgen;507
Hætta;502
Høiby;501
Horpestad;492
Haukland;490
Hadland;490
Hestad;489
Heen;483
Husøy;477
Hammerstad;476
Holgersen;475
Heggdal;473
Hasle;473
Holmsen;471
Horne;470
Hellem;464
Hovind;460
Haram;460
Heldal;458
Haavik;458
Hagerup;457
Hognestad;455
Holmedal;446
Hartvigsen;445
Hunstad;444
Holmberg;443
Håheim;438
Haugseth;436
Hareide;436
Hopen;435
Haglund;435
Holmgren;432
Hegland;431
Hynne;430
Helgerud;430
Haugom;424
Halseth;423
Høyem;422
Hammersland;421
Hjortland;418
Heide;418
Hegg;418
Helleland;415
Holvik;413
Hellevik;413
Herstad;412
Haakonsen;406
Haugnes;399
Hausken;397
Hatlestad;395
Hystad;392
Holsen;391
Harestad;390
Husa;389
Hjørnevik;384
Hatlen;383
Hagelund;381
Hennum;379
Heyerdahl;378
Hofseth;372
Holum;370
Halstensen;365
Hægeland;363
Ho;361
Hegstad;353
Havn;353
Høgseth;351
Hoang;349
Hval;348
Heggheim;348
Hagenes;347
Halse;346
Høgset;344
Hanstad;343
Heia;339
Haugvaldstad;339
Hammervold;335
Heien;333
Helberg;331
Høiseth;330
Haugsdal;327
Hartmann;327
Hildre;325
Haarr;323
Høines;322
Høyer;321
Hebnes;320
Hatland;319
Haddeland;316
Hamnes;314
Habbestad;312
Hoddevik;311
Hurlen;309
Hotvedt;309
Haukaas;309
Hidle;308
Haarberg;308
Hindenes;307
Hille;307
Horvei;303
Hellebust;301
Hemmingsen;300
Haraldstad;300
Hall;300
Hesjedal;299
Høivik;298
Hjelvik;298
Heltne;294
Hatlem;294
Holmefjord;293
Hessen;293
Hegdal;293
Heggøy;292
Haugum;291
Hallan;291
Hveding;290
Heggernes;289
Holmvik;288
Halleland;288
Huus;287
Horten;287
Hestvik;286
Helstad;286
Høye;284
Haraldseid;284
Honningsvåg;283
Hjelseth;282
Hveem;279
Helgestad;279
Hartviksen;273
Hilde;270
Halden;269
Høgli;267
Halvorsrud;266
Harnes;265
Helgheim;264
Husevåg;263
Hordvik;263
Heggedal;262
Halleraker;262
Hølland;261
Høgberg;261
Hoffmann;261
Hagland;261
Helleren;260
Helset;259
Haveland;258
Habberstad;257
Hoseth;256
Hella;256
Hegre;256
Hartveit;256
Husum;254
Haugsvær;254
Hatlevik;254
Hjelde;253
Horntvedt;252
Hepsø;252
Hernæs;251
Hjorth;249
Hammeren;249
Høiberg;248
Holta;246
Hay;246
Høgås;245
Heimstad;244
Halsen;244
Hilstad;243
Hustveit;242
Hustoft;241
Hannestad;241
Hagberg;241
Haugo;240
Hinna;239
Haver;238
Hageland;238
Hokstad;237
Hornnes;235
Hervik;235
Haukedal;235
Hylland;233
