Njål;613
Torgrim;609
Ibrahim;608
Niels;605
Torkel;601
Torleiv;599
Abdul;593
Nicolay;583
Malvin;579
Bo;568
Max;565
Tron;560
Villy;560
Brian;558
Morgan;557
Allan;547
Torger;542
Hermod;541
Leo;539
Carsten;537
Eldar;532
Jonatan;529
Gunvald;528
Tage;523
Thorstein;521
Claus;516
Aron;513
Jørund;513
Gerhard;511
Rudi;504
Jimmy;503
James;495
Lars-Erik;495
Rikard;495
Birk;494
Søren;493
Elling;492
Håvar;489
Fridtjof;488
Osvald;486
Jann;482
Amir;479
Lennart;474
Ahmad;473
Josef;471
Ludvik;469
Patrik;463
Jose;457
Thorvald;457
Ørnulf;449
Stephen;448
Wiggo;448
Eigil;446
Rudolf;444
Abdi;441
Ingebrigt;436
Oddvin;436
Mattis;434
Sture;433
Stephan;429
Ben;428
Ansgar;423
Frederik;422
Ole-Martin;421
Lucas;417
Alv;416
Eyvind;411
Mehmet;410
Steven;410
Sigvald;407
Sølve;407
Torvald;407
Ask;403
Nicolas;402
Nicklas;401
Eilert;400
Eskild;400
Normann;400
Baard;397
Said;396
Teodor;394
Alan;391
Esben;390
Andrew;389
Mark;385
Syver;383
Brynjulf;381
Hans-Petter;376
Aasmund;373
Bror;372
Haldor;369
Remy;366
Steve;365
Joacim;363
Mons;363
Hogne;362
Ingve;361
Torben;359
Ian;358
Eystein;357
Kaj;356
Halfdan;353
Holger;353
Alex;350
Torje;346
Edward;345
Ole-Kristian;341
Adnan;339
Rino;339
Leander;336
Gjert;334
Kim-Andre;334
Syed;334
Hasan;333
Sigfred;330
Lauritz;326
Osman;326
Carlos;325
Hallstein;325
Jean;323
Ronnie;323
Asmund;322
Juan;321
Frits;320
Marco;320
Gudbrand;317
Luis;317
Ismail;316
Svein-Erik;315
Niclas;314
Torkild;314
Thanh;313
Julius;312
Tonny;311
Khalid;310
Torkil;308
Mattias;305
Narve;305
Flemming;304
Viljar;304
Tom-Erik;302
Annar;301
Anthony;301
Mario;301
Per-Arne;299
Kennet;298
Olve;298
Scott;297
Frithjof;296
Tarald;294
Samir;291
Phillip;290
Tor-Erik;289
Kato;288
Hussein;286
Severin;286
Evald;285
Gorm;285
Joseph;284
Jonn;283
Bjørn-Erik;282
Johann;280
Laurits;278
Abdirahman;277
Sean;277
Skjalg;277
Jomar;275
Abdullah;272
Bertil;271
Oddleif;270
Benny;269
Andres;266
Leonard;266
Antonio;264
Martinus;263
Torolf;261
Thoralf;260
Ahmet;259
Bjørge;258
Theo;258
Fredrick;257
Levi;257
Borgar;256
Ferdinand;256
Lorentz;256
George;255
Torodd;254
Arnljot;252
Abdullahi;251
Jardar;250
Thormod;250
Bastian;249
Minh;249
Sigvart;249
